Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Farah Salah Bayzer,F,SBD,Raw,22,20-23,19-23,Open,73.6,76,107.5,115,-117.5,NA,115,52.5,55,-57.5,NA,55,120,130,-135,NA,130,300,9,295.14,288.63,254.06,60.07,Yes,UAE,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Imran Fulat,M,SBD,Raw,23,20-23,24-39,Open,104.5,105,267.5,287.5,-300,NA,287.5,165,172.5,-175,NA,172.5,272.5,295,-302.5,NA,295,755,6,456.22,451.91,431.52,93.42,Yes,UAE,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Hussain Alsabt,M,SBD,Raw,22,20-23,19-23,Open,69.6,74,-177.5,-182.5,182.5,NA,182.5,117.5,125,127.5,NA,127.5,227.5,242.5,-255,NA,242.5,552.5,13,416.67,415.86,403.12,83.75,Yes,UAE,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Kin Hei William Li,M,SBD,Raw,22.5,20-23,19-23,Open,65,66,-215,225,228.5,NA,228.5,125,132.5,-135,NA,132.5,230,245,-260,NA,245,606,3,480.27,481.89,468.6,95.23,Yes,Hong Kong,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Moritz Langwallner,M,SBD,Raw,23,20-23,19-23,Open,91.9,93,210,225,237.5,NA,237.5,135,142.5,145,NA,145,255,270,-287.5,NA,270,652.5,14,417.56,412.24,394.75,85.86,Yes,Netherlands,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Woei Jin Seah,M,SBD,Raw,25,24-34,24-39,Open,92.7,93,252.5,265,270,NA,270,180,-190,190,NA,190,285,-300,300,NA,300,760,1,484.3,478.16,457.71,99.58,Yes,Singapore,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
John Endoso,M,SBD,Raw,20,20-23,19-23,Open,103.2,105,280,300,318,NA,318,180,187.5,-192.5,NA,187.5,262.5,275,-277.5,NA,275,780.5,5,474.05,469.3,448.11,97.15,Yes,UAE,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Princeton Phasakda,M,SBD,Raw,21,20-23,19-23,Open,91.51,93,170,195,-230,NA,195,142.5,150,152.5,NA,152.5,195,225,-245,NA,225,572.5,16,367.13,362.45,347.13,75.49,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Gustavo Alvarado-Pérez,M,SBD,Raw,22.5,20-23,19-23,Open,92.51,93,-245,245,252.5,NA,252.5,142.5,147.5,152.5,NA,152.5,260,267.5,-275,NA,267.5,672.5,10,428.97,423.52,405.44,88.2,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Šimon Kupec,M,SBD,Raw,23.5,24-34,24-39,Open,92.12,93,200,210,-215,NA,210,-140,140,-150,NA,140,220,237.5,-250,NA,237.5,587.5,15,375.52,370.75,354.98,77.22,Yes,Slovakia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Dino Chew,M,SBD,Raw,25,24-34,24-39,Open,91.54,93,195,210,222.5,NA,222.5,117.5,125,130,NA,130,250,265,-275,NA,265,617.5,14,395.92,390.88,374.35,81.41,Yes,Singapore,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Kert-Kristofer Kljutsnik,M,SBD,Raw,19.5,20-23,19-23,Open,81.23,83,195,207.5,-215,NA,207.5,95,-102.5,102.5,NA,102.5,220,240,-250,NA,240,550,19,375.89,371.93,358.12,76.97,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Dawson Aaron,M,SBD,Raw,21,20-23,19-23,Open,82.43,83,240,252.5,-257.5,NA,252.5,150,157.5,167.5,NA,167.5,240,255,265,NA,265,685,5,464.24,459.12,441.78,95.15,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Daniel Sejdini,M,SBD,Raw,23.5,24-34,24-39,Open,80.57,83,210,220,227.5,NA,227.5,142.5,152.5,157.5,NA,157.5,265,-285,290,NA,290,675,7,463.51,458.78,441.9,94.86,Yes,Sweden,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Zhi Hao Guo,M,SBD,Raw,23.5,24-34,24-39,Open,82.44,83,242.5,255,262.5,NA,262.5,165,170,172.5,NA,172.5,270,285,290,NA,290,725,1,491.31,485.89,467.54,100.7,Yes,UK,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
